Book Online?,Sleeps,Title,URL,Region,Rate Range,Pets?,# of Reviews,Beds,Owner Operated?,Minimum Stay,Baths,Accessible?,Booking Duration,Map Marker?,ID,# of Stars
True,6,'Villa Marbella' Gulf Access Waterfront Executive Home Sw Cape Coral,http://www.vrbo.com/146139,"Private Homes, Southwest",$700 - $875,False,14,3,True,7,2,False,week ,True,prop170556ha,4.5
True,6,'Villa Marbella' Gulf Access Waterfront Executive Home Sw Cape Coral,http://www.vrbo.com/348923ha,"Private Homes, Southwest",$700 - $875,False,14,3,True,7,2,False,week ,True,prop348923ha,4.5
True,6,'Villa Marbella' Gulf Access Waterfront Executive Home Sw Cape Coral,http://www.vrbo.com/332069,"Private Homes, Southwest",$700 - $875,False,14,3,True,7,2,False,week ,True,prop332069,4.5
True,6,'Villa Marbella' Gulf Access Waterfront Executive Home Sw Cape Coral,http://www.vrbo.com/71885,"Private Homes, Southwest",$700 - $875,False,14,3,True,7,2,False,week ,True,prop71885,4.5
True,6,'Villa Marbella' Gulf Access Waterfront Executive Home Sw Cape Coral,http://www.vrbo.com/265606,"Private Homes, Southwest",$700 - $875,False,14,3,True,7,2,False,week ,True,prop265606,4.5
True,6,'Villa Marbella' Gulf Access Waterfront Executive Home Sw Cape Coral,http://www.vrbo.com/518306ha,"Private Homes, Southwest",$700 - $875,False,14,3,True,7,2,False,week ,True,prop518306ha,4.5
True,6,'Villa Marbella' Gulf Access Waterfront Executive Home Sw Cape Coral,http://www.vrbo.com/918428ha,"Private Homes, Southwest",$700 - $875,False,14,3,True,7,2,False,week ,True,prop918428ha,4.5
True,6,'Villa Marbella' Gulf Access Waterfront Executive Home Sw Cape Coral,http://www.vrbo.com/776602ha,"Private Homes, Southwest",$700 - $875,False,14,3,True,7,2,False,week ,True,prop776602ha,4.5
True,6,'Villa Marbella' Gulf Access Waterfront Executive Home Sw Cape Coral,http://www.vrbo.com/756254ha,"Private Homes, Southwest",$700 - $875,False,14,3,True,7,2,False,week ,True,prop756254ha,4.5
True,6,'Villa Marbella' Gulf Access Waterfront Executive Home Sw Cape Coral,http://www.vrbo.com/511594ha,"Private Homes, Southwest",$700 - $875,False,14,3,True,7,2,False,week ,True,prop511594ha,4.5
True,6,'Villa Marbella' Gulf Access Waterfront Executive Home Sw Cape Coral,http://www.vrbo.com/435305,"Private Homes, Southwest",$700 - $875,False,14,3,True,7,2,False,week ,True,prop435305,4.5
True,6,'Villa Marbella' Gulf Access Waterfront Executive Home Sw Cape Coral,http://www.vrbo.com/3471265ha,"Private Homes, Southwest",$700 - $875,False,14,3,True,7,2,False,week ,True,prop3471265ha,4.5
True,6,'Villa Marbella' Gulf Access Waterfront Executive Home Sw Cape Coral,http://www.vrbo.com/439503,"Private Homes, Southwest",$700 - $875,False,14,3,True,7,2,False,week ,True,prop439503,4.5
True,6,'Villa Marbella' Gulf Access Waterfront Executive Home Sw Cape Coral,http://www.vrbo.com/404023,"Private Homes, Southwest",$700 - $875,False,14,3,True,7,2,False,week ,True,prop404023,4.5
True,6,'Villa Marbella' Gulf Access Waterfront Executive Home Sw Cape Coral,http://www.vrbo.com/14834,"Private Homes, Southwest",$700 - $875,False,14,3,True,7,2,False,week ,True,prop14834,4.5
True,6,'Villa Marbella' Gulf Access Waterfront Executive Home Sw Cape Coral,http://www.vrbo.com/436311,"Private Homes, Southwest",$700 - $875,False,14,3,True,7,2,False,week ,True,prop436311,4.5
True,6,'Villa Marbella' Gulf Access Waterfront Executive Home Sw Cape Coral,http://www.vrbo.com/538937ha,"Private Homes, Southwest",$700 - $875,False,14,3,True,7,2,False,week ,True,prop538937ha,4.5
True,6,'Villa Marbella' Gulf Access Waterfront Executive Home Sw Cape Coral,http://www.vrbo.com/525142ha,"Private Homes, Southwest",$700 - $875,False,14,3,True,7,2,False,week ,True,prop525142ha,4.5
True,6,'Villa Marbella' Gulf Access Waterfront Executive Home Sw Cape Coral,http://www.vrbo.com/459648,"Private Homes, Southwest",$700 - $875,False,14,3,True,7,2,False,week ,True,prop459648,4.5
True,6,'Villa Marbella' Gulf Access Waterfront Executive Home Sw Cape Coral,http://www.vrbo.com/503000ha,"Private Homes, Southwest",$700 - $875,False,14,3,True,7,2,False,week ,True,prop503000ha,4.5
True,6,'Villa Marbella' Gulf Access Waterfront Executive Home Sw Cape Coral,http://www.vrbo.com/550752ha,"Private Homes, Southwest",$700 - $875,False,14,3,True,7,2,False,week ,True,prop550752ha,4.5
True,6,'Villa Marbella' Gulf Access Waterfront Executive Home Sw Cape Coral,http://www.vrbo.com/45609,"Private Homes, Southwest",$700 - $875,False,14,3,True,7,2,False,week ,True,prop45609,4.5
True,6,'Villa Marbella' Gulf Access Waterfront Executive Home Sw Cape Coral,http://www.vrbo.com/341002,"Private Homes, Southwest",$700 - $875,False,14,3,True,7,2,False,week ,True,prop387544ha,4.5
True,6,'Villa Marbella' Gulf Access Waterfront Executive Home Sw Cape Coral,http://www.vrbo.com/502133,"Private Homes, Southwest",$700 - $875,False,14,3,True,7,2,False,week ,True,prop502133,4.5
True,6,'Villa Marbella' Gulf Access Waterfront Executive Home Sw Cape Coral,http://www.vrbo.com/2099243ha,"Private Homes, Southwest",$700 - $875,False,14,3,True,7,2,False,week ,True,prop2099243ha,4.5
True,6,'Villa Marbella' Gulf Access Waterfront Executive Home Sw Cape Coral,http://www.vrbo.com/97714,"Private Homes, Southwest",$700 - $875,False,14,3,True,7,2,False,week ,True,prop97714,4.5
True,6,'Villa Marbella' Gulf Access Waterfront Executive Home Sw Cape Coral,http://www.vrbo.com/496567,"Private Homes, Southwest",$700 - $875,False,14,3,True,7,2,False,week ,True,prop496567,4.5
True,6,'Villa Marbella' Gulf Access Waterfront Executive Home Sw Cape Coral,http://www.vrbo.com/498256,"Private Homes, Southwest",$700 - $875,False,14,3,True,7,2,False,week ,True,prop498256,4.5
True,6,'Villa Marbella' Gulf Access Waterfront Executive Home Sw Cape Coral,http://www.vrbo.com/2115212ha,"Private Homes, Southwest",$700 - $875,False,14,3,True,7,2,False,week ,True,prop2115212ha,4.5
True,6,'Villa Marbella' Gulf Access Waterfront Executive Home Sw Cape Coral,http://www.vrbo.com/499250,"Private Homes, Southwest",$700 - $875,False,14,3,True,7,2,False,week ,True,prop499250,4.5
True,6,'Villa Marbella' Gulf Access Waterfront Executive Home Sw Cape Coral,http://www.vrbo.com/505828,"Private Homes, Southwest",$700 - $875,False,14,3,True,7,2,False,week ,True,prop505828,4.5
True,6,'Villa Marbella' Gulf Access Waterfront Executive Home Sw Cape Coral,http://www.vrbo.com/506063,"Private Homes, Southwest",$700 - $875,False,14,3,True,7,2,False,week ,True,prop506063,4.5
True,6,'Villa Marbella' Gulf Access Waterfront Executive Home Sw Cape Coral,http://www.vrbo.com/3670800ha,"Private Homes, Southwest",$700 - $875,False,14,3,True,7,2,False,week ,True,prop3670800ha,4.5
True,6,'Villa Marbella' Gulf Access Waterfront Executive Home Sw Cape Coral,http://www.vrbo.com/443362,"Private Homes, Southwest",$700 - $875,False,14,3,True,7,2,False,week ,True,prop443362,4.5
True,6,'Villa Marbella' Gulf Access Waterfront Executive Home Sw Cape Coral,http://www.vrbo.com/417222,"Private Homes, Southwest",$700 - $875,False,14,3,True,7,2,False,week ,True,prop417222,4.5
